Ville,Chanson,Artiste,complete_address,lat,lng,spotify
Paris,Paris ,Pérez Prado,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5Y5WlrJiwlAsNUlTv5Orbr
Paris,Paris ,Olivia Ruiz,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0DOskGi7fjxuquUyqMyGh9
Paris,Paris ,Taxi Girl,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/79bZelGWXPOeoHNzpJgy2q
Paris,Paris 75 ,Yves Simon,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6UWYLPmIlKowRdeUviCpN8
Paris,Paris 1919 ,John Cale,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5Zpy2HR2vYLjlTQVd81DLH
Paris,Paris 2034 ,Pigalle,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4xo8OIT2Bf1CauyksWF1MR
Paris,Paris a besoin de fêtes ,Michel Hermon,"Paris, France",48.853536,2.348271,
Paris,Paris a ses 2000 ans ,Maurice Chevalier,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6RcGlguacRUOd3BLtluui7
Paris,Paris an 2000 ,Jean Ferrat,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6fuYuzC8hQwF3y8Kl0rjYY
Paris,Paris après minuit ,Les Relax,"Paris, France",48.853536,2.348271,
Paris,Paris at Night ,Yves Montand ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4ZDhPFhg9mtcerQa1AdDke
Paris,Paris au mois d'août ,Charles Aznavour,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/03lQxZbj8Qxi6W4RFucYDn
Paris,Paris au mois d'août ,Guy Béart,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0jW60VPAhcsEonO96I7EM6
Paris,Paris au mois d'août ,Agnès Bihl,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5f3gXR2h2VBZEYQ8G2Cr0T
Paris,Paris au mois d'août ,Pascale Daniel,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1XMuKhFFYYerOv8ijDDi8K
Paris,Paris au mois de septembre ,Danielle Darrieux ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5FkTGNvVGIA30QyKsr79ZZ
Paris,Paris aujourd'hui ,La Souris déglinguée,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7LJkwz9CkQWFcD2pYltbY0
Paris,Paris Bells ,Marianne Faithfull,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6ZluqIq4medREDBz9bMzR1
Paris,Paris-biguine ,Orphélien,"Paris, France",48.853536,2.348271,
Paris,Paris Blue ,Lykke Li,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7dhOXzaz2S5T8xe0vEx2s5
Paris,Paris Blues ,Duke Ellington,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1mk8SSiXzmlCIGeLBXUtRC
Paris,Paris boulevards ,Mano Solo,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/31lN6lfVUrsIw5fM2jEHMJ
Paris,Paris-boxon ,Jil Caplan,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2u0iJQVHqbO6H7RMnIXvTa
Paris,Paris by Night ,Patrick Juvet,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0aWA84zzPPadF7I0N9tSRb
Paris,Paris by Night ,Mouloudji,"Paris, France",48.853536,2.348271,
Paris,Paris by Night ,Jean-Louis Caillat,"Paris, France",48.853536,2.348271,
Paris,Paris by Night ,Linda Keel,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1ivb8bcjPZXwmoSbfI7oxn
Paris,Paris by Night ,Benjamin,"Paris, France",48.853536,2.348271,
Paris,Paris by Night ,DSL,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1vMKCMx5Og3k9X2al5bSUg
Paris,Paris by Night ,Alistair,"Paris, France",48.853536,2.348271,
Paris,Paris by Night ,Dého,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5I4u1kiw5wmh3WSruNpTYF
Paris,Paris by Night ,Trust,"Paris, France",48.853536,2.348271,
Paris,Paris Canaille ,Léo Ferré ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/46UmFxW9PFfCegXzVThe8M
Paris,"Paris, Casino de Paris ",Les Incroyables,"Paris, France",48.853536,2.348271,
Paris,Paris champagne ,Luis Mariano,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3uxavtZByELCYX80fiyIkZ
Paris,Paris-chansons ,Jacqueline Danno,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6koHYLpMzxOfkJY1ogF742
Paris,Paris chéri ,Luis Mariano,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/537Nmbhax0Ed51C7vGlUxU
Paris,Paris cide ,Michel Kricorian,"Paris, France",48.853536,2.348271,
Paris,Paris couleur novembre ,Juliette Gréco,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0crL6WdbsyUVATRiL4JioJ
Paris,Paris d'été ,Claude Vinci,"Paris, France",48.853536,2.348271,
Paris,Paris d'papa ,Juliette Gréco,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2vCbrGbVp1itojeY8YLasa
Paris,Paris de mes mélancolies ,Jacqueline François,"Paris, France",48.853536,2.348271,
Paris,Paris des amours ,Marc et André,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/19UTqOw82ztMnTawWTIM2r
Paris,Paris en automne ,Patachou,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3JHzRVxb5kvwqEOTNkI61K
